Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5068963,129,SHA,KMG,2011-12-28,08:20:00,140,158,[F,Y],27,3
Relation:couple,coflycnt
3610269,50204428,3
6865053,95586445,2
22997707,33352971,5
9462001,22933945,2
34262642,95586443,2
882959,882960,7
34262642,95586445,2
6865053,95586443,2
1450797,5174653,1
3368937,92989469,2
95586443,95586445,2
6865053,34262642,2
80840146,95586445,2
80840146,95586443,2
3368937,92989470,2
17186453,17578237,6
6865053,80840146,2
4936832,6621472,9
1145747,2494102,13
92989469,92989470,2
34262642,80840146,2
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
96015862,3,15,5,-1.0
96015857,3,24,1,-1.0
24711358,3,20,4,0.7099236599999996
96015856,3,23,6,-1.0
96015859,3,24,3,-1.0
96015858,3,24,2,-1.0
60895450,3,18,1,0.890625
2503515,3,12,3,0.6367197699590963
96015865,3,16,3,-1.0
96015864,3,25,2,-1.0
96015867,3,21,2,-1.0
96015866,3,19,2,-1.0
96015844,3,21,4,-1.0
5187539,3,13,2,0.9685039413333327
96015845,3,22,1,-1.0
96015846,3,22,2,-1.0
38810689,3,13,6,0.7047244199999996
96015847,3,22,3,-1.0
96015840,3,25,5,-1.0
17186453,3,5,6,0.7298992615472715
96015841,3,21,3,-1.0
96015842,3,12,1,-1.0
15877454,3,6,3,0.57404170877767
96015843,3,21,5,-1.0
3368937,3,4,4,0.8200983919934809
96015852,3,24,4,-1.0
33266614,3,12,5,0.7520457316113627
96015853,3,23,3,-1.0
96015854,3,23,4,-1.0
96015855,3,19,1,-1.0
96015848,3,22,4,-1.0
96015849,3,14,1,-1.0
96015850,3,22,6,-1.0
96015851,3,23,1,-1.0
95586443,3,8,3,0.7939278965487573
96015831,3,19,5,-1.0
96015830,3,19,4,-1.0
79083917,3,18,6,0.9173553693333331
96015829,3,15,6,-1.0
96015828,3,4,6,-1.0
96015827,3,18,3,-1.0
17699751,3,13,4,0.6053894737741412
96015826,3,18,5,-1.0
91929238,3,18,4,0.74522293
95586445,3,8,1,0.6664866428746641
96015825,3,18,2,-1.0
96015824,3,19,3,-1.0
96015839,3,21,1,-1.0
96015838,3,20,6,-1.0
96015837,3,20,5,-1.0
96015836,3,23,5,-1.0
5174653,3,3,2,0.7983377034236883
96015835,3,25,6,-1.0
96015834,3,26,5,-1.0
96015833,3,20,1,-1.0
96015832,3,19,6,-1.0
96015815,3,14,2,-1.0
96015822,3,15,4,-1.0
96015823,3,24,6,-1.0
96015820,3,9,5,-1.0
96015821,3,15,3,-1.0
12631069,3,12,6,0.875
96015818,3,14,6,-1.0
96015819,3,6,6,-1.0
96015816,3,27,2,-1.0
20314976,3,10,5,0.5421491653172861
96015817,3,7,6,-1.0
94504379,3,13,5,0.7007874099999997
92989469,3,4,5,0.7559123581710805
963662,3,3,3,0.6235743237123529
92989470,3,4,3,0.7413857993626628
24598134,3,9,3,0.5687211187388443
2214812,3,5,1,0.5726732155136625
35320466,3,13,1,0.9828244359999991
50204428,3,16,6,0.7360944822920479
132581,3,17,3,0.8159509233333333
4936832,3,10,2,0.6976071993925356
1412369,1,1,2,0.5719377376199293
11461155,3,11,5,0.662895815255006
3610269,3,17,4,0.7253982643726008
132588,3,16,2,0.5850947306020833
40019608,3,9,2,0.5135064461553618
80840146,3,7,4,0.8137478625126546
6621472,3,10,3,0.6455550849791254
882960,3,6,5,0.8141212262819814
18038035,3,7,5,0.6697838296616354
32216001,3,9,6,0.6946399208729837
28747928,3,7,2,0.5384511225307427
7819837,3,17,6,0.5756374992802242
9462001,3,6,1,0.7518418097649973
28255429,3,11,2,0.6015916883678276
69406117,3,13,3,0.7929936166666665
882959,3,6,4,0.8315819030753874
58832753,3,9,4,0.7942505664744552
44244129,3,11,6,0.6341008726708213
32154319,3,5,4,0.5568976755188015
23503274,3,5,2,0.5798330298999992
55579817,3,7,1,0.6038293790000614
34262642,3,8,4,0.6957075589137554
9148499,3,11,3,0.6862568505518233
60753548,3,25,3,0.6910827999999996
63085708,3,15,2,0.6141404754839614
1145747,3,3,5,0.8004958895473644
28004703,3,25,4,0.6373042705017061
35267635,3,10,4,0.6209885305169731
85685276,3,4,1,0.5969831218731401
19810853,3,22,5,-1.0
33046847,3,16,5,0.5815478164783885
92269958,3,16,1,0.7178448035609718
46839838,3,8,5,0.578564396280395
6865053,3,8,2,0.8226710111637954
17578237,3,5,5,0.7521723623110348
22933945,3,6,2,0.8088489377322958
