Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5073325,429,HRB,KMG,2011-12-28,18:35:00,128,134,[F,Y],51,31
Relation:couple,coflycnt
2106694,3,0.48193592,0.51806408,0.70415813,0.4133088677399922
2106695,3,0.19063617,0.19063617,0.70097935,0.5663886733678957
3118555,3,0.25556791,0.48547894,0.74443209,0.5842213922573516
11329382,3,0.83253407,0.1674659,0.83253407,0.1674659199999997
39692340,3,0.60418087,0.085840389,0.70351148,0.6082906951367215
45478604,3,0.61907274,0.25509945,0.58236611,0.5443887428673643
51334933,3,0.36604702,0.306095,0.5147118,0.6249769584523277
51334934,3,0.46928608,0.53071392,0.68924075,0.7142200561023442
51334939,3,0.508784,0.42886588,0.64428538,0.6826952931761959
51334940,3,0.27208695,0.48523888,0.48523888,0.6696074837513506
51334941,3,0.37183532,0.28310633,0.62816465,0.7233882995037386
51334947,3,0.47993383,0.46251222,0.30533063,0.7071068074212414
51334951,3,0.30666238,0.69333762,0.34982786,0.5914483657955034
51334952,3,0.32121581,0.5155189,0.36917743,0.6465387209373414
52634191,3,0.13889609,0.13889609,0.69942725,0.6744650851744143
52634195,3,0.50825816,0.25655749,0.55382174,0.659150842780361
52634198,3,0.28007436,0.28007436,0.30645326,0.6633017348689796
52634199,3,0.55834293,0.44165704,0.24804427,0.5800324221166513
71393142,3,0.96787834,0.032121643,0.96787834,0.2095130622982374
4443926,2,0.64510798,0.24661176,0.24661176,0.40992217852211066
4750002,2,0.48136562,0.51863438,0.48136562,0.51863438
27704030,2,0.11632405,0.88367593,0.48442221,0.433085795728812
31752554,2,0.53613573,0.46386424,0.32275996,0.45563671262883876
31752555,2,0.31674221,0.68325776,0.31674221,0.4129145429066322
40844930,2,0.96897811,0.031021899,0.96897811,0.35431499317260884
40844931,2,0.034594968,0.034594968,0.96540505,0.4709539317921166
43028507,2,0.40972665,0.1287349,0.59027338,0.5785456903629778
45995596,2,0.34821168,0.65178829,0.43410125,0.6209895936692024
46100782,2,0.26687115,0.65337425,0.65337425,0.3987443051334295
53458293,2,0.27253708,0.72746295,0.27253708,0.6962256611109283
57617293,2,0.35113132,0.46181834,0.53818166,0.7715616636439107
59506373,2,0.51274806,0.041673694,0.95832628,0.3720306321844439
59826754,2,0.26700681,0.42687073,0.73299319,0.7205587698484281
59826755,2,0.57312924,0.26360545,0.73639458,0.7200830574875741
65666205,2,0.075414635,0.075414635,0.48369867,0.3959829285789639
72045771,2,0.73553717,0.2644628,0.42561984,0.6042754622901285
84824075,2,0.70968449,0.29031551,0.70968449,0.39678990778787515
15401822,1,0.99668872,0.0033112583,0.99668872,0.42455514785457615
59300187,1,0.23239437,0.76760566,0.76760566,0.23239434999999986
59345091,1,0.92481202,0.075187966,0.92481202,0.24364739816578107
59469104,1,0.27551019,0.72448981,0.72448981,0.5250623850154955
65975315,1,0.3197279,0.3197279,0.6802721,0.5283991835901787
85199809,1,0.19018404,0.80981594,0.19018404,0.3297329599780082
85216795,1,0.25850341,0.25850341,0.25850341,0.5226932436594944
85392205,1,0.60489511,0.39510489,0.60489511,0.7279852849713003
85392206,1,0.39860141,0.39860141,0.60139859,0.800699295
