Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5086733,118,HAK,KHN,2011-12-30,07:40:00,160,164,[F,Y],28,3
Relation:couple,coflycnt
54541039,54541040,1
44399505,65326720,2
14809540,15358764,2
44399505,45324100,3
55625317,55625318,1
3016280,21723946,4
45324100,65326720,2
7947435,7947436,3
40641670,40641671,4
66113191,66113192,3
15575881,45324100,3
12392010,16728736,6
15575881,65326720,2
5814760,64898722,1
15575881,44399505,3
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
95841683,0,-1.0,-1.0,-1.0,-1.0
95841684,0,-1.0,-1.0,-1.0,-1.0
95841685,0,-1.0,-1.0,-1.0,-1.0
95841686,0,-1.0,-1.0,-1.0,-1.0
95841687,0,-1.0,-1.0,-1.0,-1.0
95841688,0,-1.0,-1.0,-1.0,-1.0
95841689,0,-1.0,-1.0,-1.0,-1.0
95841690,0,-1.0,-1.0,-1.0,-1.0
95841691,0,-1.0,-1.0,-1.0,-1.0
95841692,0,-1.0,-1.0,-1.0,-1.0
95841693,0,-1.0,-1.0,-1.0,-1.0
95841694,0,-1.0,-1.0,-1.0,-1.0
95841695,0,-1.0,-1.0,-1.0,-1.0
95841698,0,-1.0,-1.0,-1.0,-1.0
95841699,0,-1.0,-1.0,-1.0,-1.0
95841700,0,-1.0,-1.0,-1.0,-1.0
95841863,0,-1.0,-1.0,-1.0,-1.0
95912392,0,-1.0,-1.0,-1.0,-1.0
95912393,0,-1.0,-1.0,-1.0,-1.0
95912394,0,-1.0,-1.0,-1.0,-1.0
95912395,0,-1.0,-1.0,-1.0,-1.0
95912396,0,-1.0,-1.0,-1.0,-1.0
95912397,0,-1.0,-1.0,-1.0,-1.0
95912398,0,-1.0,-1.0,-1.0,-1.0
95912399,0,-1.0,-1.0,-1.0,-1.0
95912400,0,-1.0,-1.0,-1.0,-1.0
95912401,0,-1.0,-1.0,-1.0,-1.0
95912402,0,-1.0,-1.0,-1.0,-1.0
95912403,0,-1.0,-1.0,-1.0,-1.0
95912404,0,-1.0,-1.0,-1.0,-1.0
96207099,0,-1.0,-1.0,-1.0,-1.0
96207100,0,-1.0,-1.0,-1.0,-1.0
96207101,0,-1.0,-1.0,-1.0,-1.0
96207102,0,-1.0,-1.0,-1.0,-1.0
96207103,0,-1.0,-1.0,-1.0,-1.0
96207104,0,-1.0,-1.0,-1.0,-1.0
96207105,0,-1.0,-1.0,-1.0,-1.0
96207106,0,-1.0,-1.0,-1.0,-1.0
96207107,0,-1.0,-1.0,-1.0,-1.0
96207108,0,-1.0,-1.0,-1.0,-1.0
96207109,0,-1.0,-1.0,-1.0,-1.0
96207110,0,-1.0,-1.0,-1.0,-1.0
96207111,0,-1.0,-1.0,-1.0,-1.0
96207112,0,-1.0,-1.0,-1.0,-1.0
96207113,0,-1.0,-1.0,-1.0,-1.0
96207114,0,-1.0,-1.0,-1.0,-1.0
96207115,0,-1.0,-1.0,-1.0,-1.0
96207116,0,-1.0,-1.0,-1.0,-1.0
96207117,0,-1.0,-1.0,-1.0,-1.0
96207118,0,-1.0,-1.0,-1.0,-1.0
96207119,0,-1.0,-1.0,-1.0,-1.0
96207120,0,-1.0,-1.0,-1.0,-1.0
96207121,0,-1.0,-1.0,-1.0,-1.0
96207122,0,-1.0,-1.0,-1.0,-1.0
96207123,0,-1.0,-1.0,-1.0,-1.0
96207126,0,-1.0,-1.0,-1.0,-1.0
96207127,0,-1.0,-1.0,-1.0,-1.0
96207128,0,-1.0,-1.0,-1.0,-1.0
96207129,0,-1.0,-1.0,-1.0,-1.0
96207130,0,-1.0,-1.0,-1.0,-1.0
96207131,0,-1.0,-1.0,-1.0,-1.0
Allocation:pid,cabin,row,col,new_rate
66904966,3,17,4,0.5499547567459906
5224116,3,4,1,0.5832331565142619
65326736,3,10,6,0.7483558172604938
78094685,3,7,4,0.5673915359532842
37678034,3,3,5,0.6654475186062092
16728736,1,1,4,0.6623350405709785
65326720,3,4,5,0.8181461150503945
3422070,3,3,3,0.62085747592982
54541039,3,4,3,-1.0
59910136,3,20,1,0.9745762779999986
36891972,3,9,5,0.9299362999999996
61325831,3,13,2,0.6435953557245797
54541040,3,8,3,-1.0
24211025,1,2,3,0.6416599270044687
15358820,3,8,5,0.6045817323205785
56990895,3,20,2,0.6052742320580209
64898722,3,5,2,0.9555214696666665
91377649,1,2,1,0.4758998010318347
40641670,3,7,3,0.7923326201116042
40641671,3,7,2,0.8342650345835371
11976983,3,17,5,0.5957228996530495
6892373,3,27,6,0.577559169870627
14809540,3,17,3,0.7741690275997227
95841863,3,15,2,-1.0
86142601,3,21,6,0.83128834
47584979,3,9,1,0.6345160478667098
44399505,3,4,4,0.7248349277487525
91402077,3,16,2,0.6665346982926715
95120560,3,12,6,0.7822085699999995
15038593,3,3,6,0.8434389850177302
4723585,3,7,5,0.5424740817628011
45708675,3,4,6,0.9809503509999957
96207099,3,22,4,-1.0
66113192,3,18,4,0.8296731686571089
96207103,3,13,3,-1.0
96207102,3,23,1,-1.0
61480928,3,8,4,-1.0
96207101,3,22,6,-1.0
96207100,3,22,5,-1.0
66113191,3,18,5,0.8290932849730468
60877251,3,25,5,0.73357666
12392010,1,1,3,0.6740542258061182
15358764,3,17,2,0.795020417461211
5745052,3,19,1,0.6824249206311691
59868888,3,19,6,0.7165604999999997
96207111,3,24,4,-1.0
45174309,3,3,4,0.580279136967474
96207110,3,24,3,-1.0
96207109,3,24,2,-1.0
96207108,3,24,1,-1.0
96207107,3,23,6,-1.0
96207106,3,23,5,-1.0
96207105,3,23,4,-1.0
96207104,3,23,3,-1.0
96207119,3,25,6,-1.0
96207118,3,24,6,-1.0
7947436,3,3,2,0.8845288351963763
96207117,3,18,2,-1.0
96207116,3,25,3,-1.0
55625318,3,11,2,0.9860139839999997
35794513,3,6,3,0.7165604899999997
96207115,3,25,2,-1.0
7947435,3,3,1,0.9503560903333329
96207114,3,25,1,-1.0
96207113,3,8,2,-1.0
55625317,3,11,1,0.9877622426666662
24637769,3,9,2,0.8941605766666666
15575881,3,5,5,0.8108019530805146
96207112,3,24,5,-1.0
1675799,3,16,4,0.5571131065716524
96207126,3,21,2,-1.0
96207127,3,26,6,-1.0
96207122,3,26,3,-1.0
96207123,3,26,4,-1.0
96207120,3,26,1,-1.0
96207121,3,26,2,-1.0
74209475,3,9,4,-1.0
74209474,3,9,3,-1.0
89042557,3,10,3,-1.0
2091051,3,17,1,0.5253996208315383
26667820,3,16,3,0.5473600912258322
95841699,3,14,6,-1.0
95841698,3,14,5,-1.0
96207130,3,27,3,-1.0
95841700,3,15,1,-1.0
96207131,3,27,4,-1.0
95483730,3,13,1,0.9068965379999994
66692527,3,8,6,0.5403215004125963
96207128,3,27,1,-1.0
5745016,3,7,6,0.8863365033333329
96207129,3,27,2,-1.0
95841690,3,13,5,-1.0
95841691,3,13,6,-1.0
72082045,3,19,2,0.6745051472106295
95841688,3,10,5,-1.0
95841689,3,13,4,-1.0
64777109,3,10,2,0.8343949099999994
53668020,3,19,3,0.9187192166666661
3763461,3,7,1,0.6414100335603947
29155384,3,8,1,0.6523509559791782
95841694,3,14,3,-1.0
95841695,3,14,4,-1.0
95841692,3,12,1,-1.0
95841693,3,14,2,-1.0
95841682,3,11,5,-1.0
73299303,3,26,5,0.69426751
69084139,3,14,1,0.9570552116666666
95841683,3,12,2,-1.0
95841680,3,11,4,-1.0
39027329,3,16,6,0.6295632520624368
17420135,3,6,6,0.5816259201480878
48723934,3,17,6,0.662306139779137
95841686,3,12,5,-1.0
95841687,3,22,3,-1.0
95841684,3,12,3,-1.0
21723946,3,6,2,0.8355136699999999
1186314,1,1,1,0.6355215453112666
95841685,3,12,4,-1.0
95841679,3,11,3,-1.0
76111672,3,21,1,0.9904458564666656
95841678,3,5,4,-1.0
95841677,3,10,4,-1.0
73977298,3,20,6,0.8941605766666666
34728072,3,18,3,0.5285840593295806
66408265,3,6,4,0.6936416099999996
66408264,3,11,6,0.729927
10436409,1,1,2,0.6143075908209262
53984841,3,9,6,0.7135110433243759
31716329,3,6,5,0.7200852004029423
